State,District,Latitude,Longitude,District code,Population,Households,Households_with_Internet,LPG_or_PNG_Households,Households_with_Car_Jeep_Van,Households_with_Scooter_Motorcycle_Moped,Ownership_Owned_Households,Ownership_Rented_Households,sex_ratio
Orissa,Nayagarh,20.192895622119817,85.05614700460825,385,962789,288334,1163,11159,2270,24290,219723,7144,92.0
Orissa,Nuapada,20.471309512195116,82.59152536585364,394,610382,209127,757,6414,1346,12482,152129,3851,102.0
Orissa,Puri,19.83509174603177,85.86698989898981,387,1698730,474224,3416,33331,4693,57033,343935,17603,96.0
Orissa,Rayagada,19.292840020060204,83.45860120361095,396,967911,286548,1553,24924,2090,19440,201492,17683,105.0
Orissa,Sambalpur,21.515752380952385,84.34958483245157,372,1041099,315495,5231,33612,5946,47662,212516,27844,98.0
Orissa,Sundargarh,22.06354819277107,84.50524819277099,374,2093437,618062,12787,77581,14641,102703,356607,73640,97.0
Puducherry,Karaikal,10.876161726078813,79.82369793621002,637,200222,69333,1868,28366,2550,19793,33788,12831,105.0
Puducherry,Mahe,12.006420793787758,75.28275021570326,636,41816,12110,574,3632,858,1747,6569,494,118.0
Puducherry,Yanam,16.707695652173904,82.26187304347832,634,55626,15519,207,10399,226,2571,6947,5816,104.0
Punjab,Amritsar,31.548679820627772,74.79883856502238,49,2490656,660953,29961,279993,56185,225063,430041,41576,89.0
Punjab,Bathinda,30.190524611973352,75.05685898004438,46,1388525,355722,11284,118427,36173,106010,235988,21224,87.0
Punjab,Faridkot,30.591187250996025,74.79751553784862,45,617508,158863,4348,62103,15528,51638,109071,6142,89.0
Punjab,Fatehgarh Sahib,30.64290947368421,76.36208394736842,40,600163,174896,5138,64037,18239,63700,101426,11510,87.0
Punjab,Firozpur,30.63407535211269,74.40245732394365,43,2029074,502390,10042,141899,37105,148610,344538,17695,89.0
Punjab,Gurdaspur,32.04283371212125,75.3204064393939,35,2298323,606348,14428,244468,32484,194705,409745,14231,90.0
Punjab,Hoshiarpur,31.55157169811319,75.8469857442349,38,1586625,551265,13747,201675,33720,166862,303081,17651,96.0
Punjab,Jalandhar,31.250336907216507,75.54400350515463,37,2193590,708130,39082,299449,72374,238203,378807,61615,92.0
Punjab,Kapurthala,31.336592638036837,75.47641165644177,36,815168,261203,9732,110555,23561,90508,141816,18924,91.0
Punjab,Ludhiana,30.76596397379912,75.83110851528383,41,3498739,1036821,58589,488757,120172,360662,570487,127020,87.0
Punjab,Mansa,29.919547714285724,75.4304922857143,47,769751,196389,2673,39414,12805,48117,140422,4905,88.0
Punjab,Moga,30.756540067340065,75.1600845117845,42,995746,288439,7897,89445,26253,85167,178205,9104,89.0
Punjab,Muktsar,30.31243303303303,74.5518747747748,44,901896,224157,4571,76441,23185,62205,159581,9169,90.0
Punjab,Patiala,30.214540380693364,76.27505893949697,48,1895686,517369,24274,209192,57008,193945,325608,28546,89.0
Punjab,Rupnagar,30.910937330754347,76.53743500967126,51,684627,208699,6600,67749,17248,72313,114943,14317,92.0
Punjab,Sangrur,30.185045204336895,75.89437014178496,53,1655169,448944,10736,135280,35264,146931,294479,15033,89.0
Rajasthan,Ajmer,26.199300378787903,74.6990419191919,119,2583052,684254,13499,171799,24509,175460,437083,40066,95.0
Rajasthan,Alwar,27.55271738035265,76.65359630562563,104,3674179,995261,9750,123478,30207,179435,595153,27599,89.0
Rajasthan,Banswara,23.453642032967014,74.44246868131869,125,1797485,429844,2324,34189,5287,45930,352341,10180,98.0
Rajasthan,Baran,24.98023243243244,76.86210651828291,128,1222755,318988,1363,32685,5741,59954,223828,13069,93.0
Rajasthan,Barmer,25.77070908045978,71.50297126436782,115,2603751,598805,2766,39580,27009,39804,436661,8087,90.0
Rajasthan,Bharatpur,27.32411858037578,77.21752077244258,105,2548462,609134,4179,61113,10349,99846,411145,8732,88.0
Rajasthan,Bhilwara,25.45119767759564,74.63947595628417,122,2408523,675880,6207,93768,17508,150972,450389,37857,97.0
Rajasthan,Bikaner,28.12489068322981,73.26943322981371,101,2363937,531933,7607,108812,17113,68379,349733,17010,91.0
Rajasthan,Bundi,25.48580716049379,75.79984074074079,121,1110906,303288,1392,33406,5787,58255,202701,13298,92.0
Rajasthan,Chittaurgarh,24.631623761665463,74.80010997846382,126,1544338,455653,4941,59190,11261,103489,293931,27803,97.0
Rajasthan,Churu,28.29330375536484,74.65846427038629,102,2039547,493893,2577,74197,9938,27698,338115,6521,94.0
Rajasthan,Dausa,26.91234817629181,76.57342097264443,109,1634409,420694,1719,35600,6664,62106,284497,4381,91.0
Rajasthan,Dhaulpur,26.72397054945053,77.74476219780222,106,1206516,273296,1330,24561,3614,31120,195242,4973,85.0
Rajasthan,Dungarpur,23.75104807692308,73.84765641025645,124,1388552,354363,1477,26351,4385,34909,273174,6186,99.0
Rajasthan,Ganganagar,29.256785412667963,73.56192303262948,99,1969168,562594,6295,88543,21515,85320,330298,23354,89.0
Rajasthan,Hanumangarh,29.1813351791531,74.74632573289902,100,1774692,497753,3360,55515,16537,56973,306363,11944,91.0
Rajasthan,Jaipur,27.033459290187885,75.77117286012533,110,6626178,1732679,76565,570997,142866,523398,1001457,127486,91.0
Rajasthan,Jaisalmer,26.86900838548185,71.18371877346682,114,669919,189947,754,12431,5218,11355,107832,3328,85.0
Rajasthan,Jalor,25.07578093797277,72.18647261724662,116,1828730,467418,1585,39745,12367,34799,315704,9562,95.0
Rajasthan,Jhalawar,24.24725541474657,76.11242891705065,129,1411129,362387,1750,38909,5385,56052,263801,15426,95.0
Rajasthan,Jhunjhunun,28.13517401247401,75.52840893970894,103,2137045,650809,4828,131987,15861,59920,371091,9196,95.0
Rajasthan,Jodhpur,26.678460838536967,73.00450847457628,113,3687165,891657,19335,197135,40768,197296,574887,41870,92.0
Rajasthan,Karauli,26.51901555555556,76.96081818181815,107,1458248,364355,1059,28296,3820,35486,256601,4524,86.0
Rajasthan,Kota,25.175718080000014,76.18618928000001,127,1951014,515189,12843,165563,24848,147206,300393,69588,91.0
Rajasthan,Nagaur,27.07862016048146,74.14215667001012,112,3307743,842201,4449,97267,26150,94315,562803,15019,95.0
Rajasthan,Pali,25.80490393541874,73.55285640766907,118,2037573,652717,4043,94821,14175,109098,396294,26351,99.0
Rajasthan,Rajsamand,25.24894767441859,73.96570215946844,123,1156597,365676,1989,36073,7060,62714,229656,13593,99.0
Rajasthan,Sawai Madhopur,26.251081180223288,76.4219283891548,108,1335551,353321,1887,40116,4398,41953,243362,7424,90.0
Rajasthan,Sikar,27.64644058641976,75.29317422839503,111,2677333,705834,5647,131342,22494,77340,434072,7418,95.0
Rajasthan,Sirohi,24.7976905263158,72.75309131578943,117,1036346,308174,2146,47182,6343,38817,184197,13430,94.0
Rajasthan,Tonk,26.153935071707927,75.79192216427637,120,1421326,380666,1908,32359,6295,68174,258120,7695,95.0
Rajasthan,Udaipur,24.44076752136749,73.84029839743584,130,3068420,848218,14211,128320,27979,157259,575790,35318,96.0
Sikkim,East,27.29600352941175,88.74908392156858,93,1709346,462218,80037,327253,87499,162670,241976,101386,88.0
Tamil Nadu,Ariyalur,11.190514836795256,79.22249643916912,616,754894,254277,1749,39642,2937,40913,181005,14004,101.0
Tamil Nadu,Chennai,13.058098905608748,80.28139151846806,603,4646732,1314125,217368,910262,146388,515581,522493,565934,99.0
Tamil Nadu,Coimbatore,10.871376995940452,77.07619012178621,632,3458045,1169752,63273,675153,87211,445588,561733,346382,100.0
Tamil Nadu,Cuddalore,11.57587300613498,79.63002365371497,617,2605914,758209,15396,244610,19828,178515,526657,98143,99.0
Tamil Nadu,Dharmapuri,12.300141200000006,78.11509813333339,630,1506843,487926,3651,104785,5843,107968,344702,32008,95.0
Tamil Nadu,Dindigul,10.377801390820574,77.78011279554937,612,2159775,713542,9155,209640,15538,147737,445908,106467,100.0
Tamil Nadu,Erode,11.267012155963302,77.42034334862392,610,2251744,843684,18604,371015,33405,288543,466373,177609,99.0
Tamil Nadu,Kancheepuram,12.496424756511884,80.08820360135913,604,3998252,1213504,100322,622095,68427,418526,700252,281627,99.0
Tamil Nadu,Kanniyakumari,8.183466300191206,77.32053064053538,629,1870374,598041,15673,199188,21577,115092,420282,57337,102.0
Tamil Nadu,Karur,10.79532776617955,78.08749686847604,613,1064493,364661,4915,135831,10648,117119,221047,61893,102.0
Tamil Nadu,Madurai,9.904313833333331,78.01366033333332,623,3038252,1010441,34097,391821,30852,228557,491822,279755,99.0
Tamil Nadu,Nagapattinam,10.789468161718286,79.79437299431483,618,1616450,517740,5585,143846,9042,86939,365468,40644,103.0
Tamil Nadu,Namakkal,11.33766638477801,78.14624841437633,609,1726601,627484,8960,265276,18550,212434,343287,126986,99.0
Tamil Nadu,Perambalur,11.260137758112096,78.86034011799416,615,565223,188592,1507,49390,2259,32178,132395,14725,100.0
Tamil Nadu,Pudukkottai,10.130514816433578,79.05444484265728,621,1618345,503941,4494,82967,7882,110324,344074,42109,101.0
Tamil Nadu,Ramanathapuram,9.31286995153476,78.99185362412462,626,1353445,417239,5172,100484,5524,49605,270430,51959,98.0
Tamil Nadu,Salem,11.629324202127655,78.2478257978723,608,3482056,1170352,20660,448968,30660,352121,706525,199211,95.0
Tamil Nadu,Sivaganga,9.960306580645158,78.56535729032255,622,1339101,452417,5773,113822,8222,91250,277432,59229,100.0
Tamil Nadu,Thanjavur,10.387692255892237,79.3194869107745,620,2405890,753372,13495,223044,17231,161750,475525,108700,103.0
Tamil Nadu,Theni,9.924066666666668,77.43458833333332,624,1245899,410623,4667,147529,6607,58034,243448,78115,99.0
Tamil Nadu,Thiruvallur,13.275858101752885,80.19724702864492,602,3728104,1119433,75634,621907,54505,363741,636443,291863,99.0
Tamil Nadu,Thiruvarur,10.368927409395978,79.60322893959727,619,1264277,408179,4416,109580,6790,72916,287483,34994,102.0
Tamil Nadu,Tiruvannamalai,12.419318947368414,79.23265631578953,606,2464875,710163,6445,176242,7851,138956,536269,47934,99.0
Tamil Nadu,Vellore,12.784882632293078,79.02643283582084,605,3936331,1140300,20623,417535,20393,286002,764911,144061,101.0
Tamil Nadu,Virudhunagar,9.468872195892564,77.87641469194315,625,1942288,734724,10219,235005,9845,119486,379629,149739,101.0
Tripura,Dhalai,23.781360477941163,91.94654283088232,291,378230,103528,273,5532,907,3006,77969,2897,94.0
Tripura,North Tripura,24.121739755351683,92.17842538226292,292,693947,192621,997,19631,2726,9201,134974,8213,97.0
Tripura,South Tripura,23.211874098057383,91.6065807585568,290,876001,264077,948,20246,3454,12757,196002,6427,96.0
Tripura,West Tripura,23.780166241299337,91.41310788863107,289,1725739,506637,6394,103228,11356,44499,365266,29156,96.0
Uttar Pradesh,Agra,26.99512974910393,78.05278291517321,146,4418797,903823,27183,251013,44989,243761,626023,37112,87.0
Uttar Pradesh,Aligarh,27.93748576850093,78.00146831119557,143,3673889,858059,13634,153283,21667,151973,564776,33059,88.0
Uttar Pradesh,Allahabad,25.392038662316445,82.05172446982063,175,5954391,1248570,24122,204357,41965,243219,853641,34772,90.0
Uttar Pradesh,Ambedkar Nagar,26.39119025974028,82.68282142857147,178,2397888,566590,2509,21512,9813,60203,357876,4387,98.0
Uttar Pradesh,Auraiya,26.66892394014961,79.42637057356607,162,1379545,314274,2404,32687,5088,35729,240103,6104,86.0
Uttar Pradesh,Azamgarh,26.008290954773837,83.01220251256285,191,4613913,971458,6652,49699,20757,116175,647550,7850,102.0
Uttar Pradesh,Baghpat,29.045793499999988,77.30266300000001,139,1303048,316046,2989,44732,13301,42998,196311,6261,86.0
Uttar Pradesh,Bahraich,27.691776300578027,81.46779783237004,180,3487731,760262,2681,38940,13451,51784,582513,7619,89.0
Uttar Pradesh,Ballia,25.86075638297873,84.03651978723408,193,3239774,629381,4672,62157,10846,65467,472507,5795,94.0
Uttar Pradesh,Balrampur,27.449076537911324,82.47158326180256,182,2148665,445838,1551,16229,6167,37816,314737,4279,93.0
Uttar Pradesh,Banda,25.351885902503284,80.52487391304344,170,1799410,445625,1655,26907,5202,32236,312553,6773,86.0
Uttar Pradesh,Bara Banki,26.922777025232424,81.35762350597606,176,3260699,714908,3159,60554,11935,91664,554258,8736,91.0
Uttar Pradesh,Bareilly,28.51101940789474,79.43187072368416,150,4448359,994411,15164,210687,24436,159838,698240,36162,89.0
Uttar Pradesh,Basti,26.833880454545447,82.69790590909092,185,2464464,545025,3423,37593,11477,66316,372178,5089,96.0
Uttar Pradesh,Bijnor,29.313974259681096,78.45098815489754,134,3682713,908523,7303,128042,17143,131278,604085,17110,92.0
Uttar Pradesh,Bulandshahr,28.34875862068968,78.01082758620684,142,3499171,880077,7865,124641,20979,136765,549364,26299,90.0
Uttar Pradesh,Chandauli,25.1180859611231,83.25307062634984,196,1952756,395759,3492,32433,7313,49064,283240,9071,92.0
Uttar Pradesh,Chitrakoot,25.159924623803,81.07666087551297,171,991730,230795,827,11637,2805,17911,162755,3009,88.0
Uttar Pradesh,Deoria,26.42218856548857,83.8244070686071,190,3100946,665706,4469,60348,13388,84941,463312,6074,102.0
Uttar Pradesh,Etah,27.591155309734443,78.70021858407083,201,1774480,401998,2635,37027,6644,54798,280646,6907,87.0
Uttar Pradesh,Etawah,26.78817670157068,79.07621806282728,161,1581810,351126,2964,47520,7736,47713,261034,10690,87.0
Uttar Pradesh,Faizabad,26.60589185185181,82.00783530864202,177,2470996,589666,4746,58328,15426,74081,403711,10253,96.0
Uttar Pradesh,Farrukhabad,27.45063297872342,79.4406284574468,159,1885204,411490,2624,59209,6765,49592,294748,9374,87.0
Uttar Pradesh,Fatehpur,25.8374362030905,80.85416203090509,172,2632733,636540,3385,43492,16758,59754,460648,8349,90.0
Uttar Pradesh,Firozabad,27.20963993055552,78.42660624999998,147,2498156,535368,5834,100919,10940,85413,379586,28917,88.0
Uttar Pradesh,Gautam Buddha Nagar,28.393311038961038,77.52462467532465,141,1648115,509770,53181,193902,78631,124939,219857,87751,85.0
Uttar Pradesh,Ghaziabad,28.74997308584685,77.67441879350343,140,4681645,1191723,78116,501592,119441,292502,672322,140034,88.0
Uttar Pradesh,Ghazipur,25.624724775583484,83.5360854578097,195,3620268,761640,5309,36798,21169,78218,514080,5915,95.0
Uttar Pradesh,Gonda,27.157215552099505,82.0226888024882,183,3433919,726372,4313,45517,13053,75067,521253,9886,92.0
Uttar Pradesh,Gorakhpur,26.63315886792452,83.3549560377358,188,4440895,951128,14597,149727,30258,157765,666811,22177,95.0
Uttar Pradesh,Hardoi,27.337409090909137,80.26411767676768,155,4092845,907677,3845,60689,12396,82094,697057,7613,87.0
Uttar Pradesh,Jalaun,26.067954587155988,79.36686911314993,165,1689974,396421,2217,42616,7009,58169,276057,9057,87.0
Uttar Pradesh,Jaunpur,25.70141280913127,82.54315351934063,194,4494204,1006670,8002,56508,22876,128471,653913,8271,102.0
Uttar Pradesh,Jhansi,25.45581535234902,78.89954580536917,166,1998603,504913,8517,94342,18860,94539,326556,25466,89.0
Uttar Pradesh,Jyotiba Phule Nagar,28.870498984771597,78.39009365482241,137,1840221,451374,2825,55064,7361,63056,300111,10385,91.0
Uttar Pradesh,Kannauj,26.993988617886185,79.64437940379408,160,1656616,365770,2488,32510,6011,37935,268151,6646,88.0
Uttar Pradesh,Kanpur Dehat,26.43047641196011,79.98710083056478,163,1796184,405256,2682,23831,12752,40159,320512,6125,86.0
Uttar Pradesh,Kaushambi,25.53587532051282,81.41811282051287,174,1599596,380620,1503,22034,4403,35502,271140,3175,91.0
Uttar Pradesh,Kushinagar,26.892530675909864,83.92261542461007,189,3564544,785099,3486,29304,12849,70192,549999,5421,96.0
Uttar Pradesh,Lalitpur,24.58877161016945,78.60082330508473,167,1221592,301832,1079,20720,5511,36718,209129,6708,91.0
Uttar Pradesh,Lucknow,26.838233589251463,80.89706026871404,157,4589838,1061721,68506,469747,90205,337254,688062,107236,92.0
Uttar Pradesh,Mahoba,25.34529670138888,79.67863003472216,169,875958,246823,1316,12874,5755,21276,157367,4536,88.0
Uttar Pradesh,Mainpuri,27.17386862302482,79.03501851015807,148,1868529,411258,2642,43074,7361,53444,301040,7547,88.0
Uttar Pradesh,Mathura,27.59390432801821,77.62153416856502,145,2547184,585290,8726,107867,16580,124260,385642,19001,86.0
Uttar Pradesh,Mau,26.01082203791469,83.50582654028433,192,2205968,451528,2656,40087,7411,47576,313109,5380,98.0
Uttar Pradesh,Meerut,29.02957625698323,77.80611005586593,138,3443689,803823,23717,236071,42392,186553,510035,47594,89.0
Uttar Pradesh,Mirzapur,25.10207959183675,82.60126628571429,199,2496970,543115,4447,43500,10205,63155,381372,6470,90.0
Uttar Pradesh,Moradabad,28.851770406189537,78.73580193423597,135,4772006,1047916,11690,179473,19316,148802,737631,39319,91.0
Uttar Pradesh,Muzaffarnagar,29.470507977736563,77.64017847866423,133,4143512,969850,10077,147785,32866,145278,645420,27173,89.0
Uttar Pradesh,Pilibhit,28.52024175035868,79.90103974175037,151,2031007,461390,2870,47723,7560,55738,349881,7346,89.0
Uttar Pradesh,Pratapgarh,25.864842731707316,81.93530048780492,131,867848,234082,716,17984,2803,31782,171300,5499,98.0
Uttar Pradesh,Pratapgarh,25.864842731707316,81.93530048780492,173,3209141,752786,5149,46358,15781,104506,523892,6378,100.0
Uttar Pradesh,Rae Bareli,26.253902840059787,81.22260463378181,158,3405559,778418,5184,65080,13483,94437,597191,12244,94.0
Uttar Pradesh,Rampur,28.83244727272725,79.10977333333337,136,2335819,539992,3847,62281,14386,73261,373771,14956,91.0
Uttar Pradesh,Saharanpur,30.03381165217392,77.59905147826095,132,3466382,889238,9699,149035,21310,151620,555491,26897,89.0
Uttar Pradesh,Sant Kabir Nagar,26.791596516393444,83.0387764344262,186,1715183,352151,2031,17671,6778,37986,253488,2887,97.0
Uttar Pradesh,Shahjahanpur,27.991389350649328,79.8302275324675,152,3006538,655003,3889,91958,9927,73581,497520,14789,87.0
Uttar Pradesh,Sitapur,27.501995963091108,80.85288881199547,154,4483992,938902,3874,74072,11679,88916,776437,11939,89.0
Uttar Pradesh,Sonbhadra,24.46693268858798,83.06816324951639,200,1862559,428088,5149,40467,10279,50700,288821,19116,92.0
Uttar Pradesh,Sultanpur,26.2846386419753,82.05710456790123,179,3797117,889628,5956,55055,18382,104307,612902,9494,98.0
Uttar Pradesh,Unnao,26.63163990895297,80.636773292868,156,3108367,717356,3476,70484,10191,79130,548851,14029,91.0
Uttar Pradesh,Varanasi,25.36057088888889,82.82529666666672,197,3676841,755064,19214,202055,24216,157861,500257,33976,91.0
Uttaranchal,Almora,29.683532133676103,79.50165064267351,64,622506,281138,1830,40199,3396,6719,123666,12840,114.0
Uttaranchal,Bageshwar,29.98703393393397,79.83954354354357,63,259898,99911,435,13352,1149,2005,53896,3013,109.0
Uttaranchal,Chamoli,30.58338611464965,79.56281095541402,57,391605,186340,899,27853,2516,2311,72625,11202,102.0
Uttaranchal,Champawat,29.29142393939393,80.07720212121217,65,259648,98041,548,18785,1387,5151,44945,5095,98.0
Uttaranchal,Pithoragarh,30.14720631868129,80.34229230769236,62,483439,209943,1344,45365,3008,6136,94192,14522,102.0
Uttaranchal,Tehri Garhwal,30.463700918635173,78.48783792650917,59,618931,254236,1366,50929,4324,9697,114292,13655,108.0
Uttaranchal,Udham Singh Nagar,29.02779577677222,79.45629004524895,67,1648902,414659,7883,116576,16841,88369,255817,30144,92.0
Uttaranchal,Uttarkashi,30.968958552036234,78.56880615384617,56,330086,121209,602,21374,1637,4046,55125,8431,96.0
West Bengal,Bankura,23.081280892857155,87.12640053571437,339,3596674,991400,4273,45126,7898,72350,736418,10490,96.0
West Bengal,Barddhaman,23.444453888888884,87.8150581111111,335,7717563,2227236,32323,292585,46714,263368,1485095,136517,95.0
West Bengal,Birbhum,24.06389342723,87.65153089201888,334,3502404,965609,5210,57010,7305,54557,764002,14309,96.0
West Bengal,Dakshin Dinajpur,25.342094363021435,88.69821679819614,331,1676276,461026,2518,37186,6211,20163,381199,7064,96.0
West Bengal,Darjiling,26.839619571045585,88.33145067024122,327,1846823,518959,10943,141897,15192,39828,305878,48498,97.0
West Bengal,Haora,22.401674174428507,87.99421176968654,341,4850029,1352697,30751,325053,22295,122818,861570,140302,94.0
West Bengal,Hugli,22.87929264705881,88.00010264705891,338,5519145,1640038,31725,319815,24013,167753,1121201,111963,96.0
West Bengal,Jalpaiguri,26.62642031250004,89.04154375000003,328,3872846,1117804,9322,138522,16431,67075,693346,77231,95.0
West Bengal,Kolkata,22.550581481481483,88.3527648148148,342,4496694,1308106,136618,623579,85605,117173,540172,385117,91.0
West Bengal,Maldah,25.08026802575105,88.17191684549356,332,3988845,958996,5357,54213,9639,41600,810212,12496,94.0
West Bengal,Murshidabad,24.25950655391121,88.16816860465121,333,7103807,1851965,7951,92742,14050,74313,1481222,21489,96.0
West Bengal,Nadia,23.56410971055088,88.58293034547152,336,5167600,1549771,12787,168314,18658,76698,1162914,31984,95.0
West Bengal,Puruliya,23.254192328767108,86.3968532876713,340,2930115,752652,3551,30675,6602,49630,546915,13996,96.0
West Bengal,Uttar Dinajpur,26.044619165196977,88.23595232216337,330,3007134,778250,2883,39138,8150,31859,573488,10356,94.0
